id,o,c,e,a,n
35300944,0.713,0.563,0.565,0.663,0.503
35308562,0.895,0.687,0.734,0.626,0.38
35311775,0.745,0.563,0.583,0.607,0.479
35323981,0.788,0.655,0.622,0.587,0.323
35324363,0.843,0.731,0.642,0.588,0.35
35329753,0.758,0.668,0.641,0.591,0.377
35341340,0.673,0.663,0.66,0.649,0.223
35343104,0.799,0.664,0.621,0.595,0.423
35347747,0.758,0.662,0.644,0.583,0.374
35347977,0.774,0.669,0.638,0.588,0.391
35357461,0.755,0.76,0.737,0.682,0.198
35367952,0.728,0.669,0.65,0.583,0.475
35369214,0.766,0.834,0.735,0.692,0.347
35376813,0.847,0.858,0.718,0.703,0.376
35383950,0.743,0.681,0.661,0.643,0.22
35387680,0.75,0.622,0.597,0.666,0.492
35388404,0.77,0.629,0.611,0.705,0.431
35388869,0.81,0.646,0.701,0.655,0.51
35389442,0.815,0.587,0.586,0.615,0.402
35392823,0.839,0.636,0.583,0.494,0.381
35743142,0.831,0.682,0.742,0.609,0.369
35746423,0.882,0.834,0.722,0.721,0.308
24898887,0.693,0.691,0.666,0.565,0.425
14841581,0.745,0.53,0.681,0.514,0.395
19923638,0.816,0.664,0.692,0.581,0.378
24032692,0.797,0.718,0.684,0.612,0.271
426835962,0.821,0.674,0.668,0.515,0.426
35756647,0.871,0.519,0.645,0.635,0.39
22026474,0.852,0.669,0.639,0.651,0.212
35760510,0.816,0.675,0.612,0.593,0.398
35761106,0.712,0.693,0.678,0.67,0.25
35762860,0.652,0.677,0.646,0.624,0.302
35763275,0.909,0.785,0.675,0.622,0.244
36155411,0.8,0.756,0.726,0.677,0.217
36156834,0.818,0.639,0.647,0.617,0.286
36159652,0.825,0.659,0.65,0.666,0.28
9763482,0.696,0.639,0.618,0.634,0.265
9785602,0.773,0.549,0.612,0.633,0.478
36171144,0.833,0.595,0.581,0.598,0.339
36182101,0.738,0.568,0.662,0.607,0.323
36182824,0.72,0.598,0.633,0.731,0.253
36184872,0.719,0.686,0.657,0.613,0.351
30905987,0.693,0.683,0.643,0.627,0.375
36191770,0.795,0.675,0.673,0.578,0.344
36191823,0.875,0.754,0.688,0.647,0.379
36191959,0.802,0.543,0.698,0.612,0.376
36192626,0.736,0.621,0.651,0.668,0.303
36198161,0.889,0.75,0.669,0.61,0.329
36204399,0.709,0.617,0.586,0.672,0.292
36204825,0.84,0.61,0.661,0.608,0.353
36583122,0.706,0.712,0.703,0.633,0.161
36714467,0.71,0.787,0.601,0.671,0.299
36714549,0.885,0.782,0.684,0.669,0.351
36719281,0.814,0.767,0.787,0.723,0.2
36719499,0.732,0.625,0.631,0.624,0.292
9826772,0.762,0.666,0.638,0.592,0.402
9827732,0.888,0.693,0.733,0.665,0.325
42009141,0.848,0.672,0.676,0.646,0.303
44788330,0.81,0.582,0.674,0.644,0.39
44789768,0.806,0.747,0.715,0.655,0.218
44846684,0.759,0.66,0.643,0.585,0.374
52871994,0.828,0.57,0.667,0.624,0.352
360356745,0.721,0.637,0.694,0.634,0.267
52883238,0.821,0.618,0.598,0.59,0.269
52892654,0.763,0.661,0.651,0.586,0.365
52902163,0.788,0.574,0.632,0.688,0.454
52904881,0.865,0.68,0.721,0.647,0.476
52905424,0.722,0.62,0.704,0.588,0.302
52918943,0.758,0.668,0.595,0.572,0.395
52921579,0.652,0.614,0.621,0.677,0.405
52922310,0.804,0.58,0.67,0.62,0.384
52931399,0.725,0.595,0.658,0.675,0.374
360381383,0.869,0.614,0.679,0.654,0.346
52934175,0.904,0.797,0.736,0.66,0.226
52937837,0.772,0.564,0.656,0.666,0.327
52938069,0.783,0.663,0.641,0.589,0.398
52939106,0.778,0.775,0.757,0.62,0.385
52942244,0.717,0.642,0.719,0.628,0.335
52948662,0.772,0.718,0.663,0.628,0.325
52968650,0.721,0.637,0.641,0.554,0.396
52969707,0.761,0.659,0.642,0.586,0.368
52973741,0.831,0.632,0.678,0.648,0.359
52974864,0.787,0.663,0.642,0.594,0.398
14407823,0.783,0.772,0.725,0.708,0.187
14408705,0.664,0.658,0.615,0.604,0.297
52987095,0.755,0.667,0.641,0.593,0.41
52988966,0.712,0.69,0.679,0.701,0.215
52992830,0.831,0.652,0.694,0.653,0.453
53009459,0.82,0.669,0.701,0.653,0.3
53022339,0.759,0.678,0.598,0.616,0.401
14410862,0.877,0.699,0.715,0.657,0.358
53023494,0.69,0.747,0.625,0.671,0.296
53023864,0.682,0.674,0.72,0.675,0.261
53024206,0.596,0.734,0.663,0.728,0.306
53025463,0.776,0.829,0.519,0.822,0.268
53025660,0.766,0.789,0.603,0.682,0.266
53039176,0.712,0.713,0.595,0.704,0.304
53043664,0.714,0.697,0.635,0.638,0.44
53047484,0.718,0.596,0.526,0.603,0.356
360389862,0.794,0.649,0.636,0.628,0.275
53082555,0.754,0.669,0.611,0.606,0.37
53093039,0.816,0.71,0.694,0.656,0.408
53096698,0.722,0.685,0.684,0.614,0.387
53101696,0.878,0.766,0.724,0.631,0.275
53112474,0.845,0.722,0.757,0.615,0.372
53113348,0.886,0.699,0.727,0.665,0.39
53115044,0.743,0.727,0.631,0.635,0.241
53116615,0.724,0.708,0.688,0.652,0.316
53120768,0.695,0.659,0.591,0.631,0.262
53126140,0.85,0.739,0.691,0.652,0.231
53130156,0.757,0.766,0.707,0.659,0.235
53130511,0.782,0.589,0.612,0.495,0.433
53131734,0.807,0.615,0.631,0.631,0.25
23886736,0.823,0.664,0.691,0.672,0.366
22509548,0.675,0.714,0.643,0.532,0.353
53134408,0.8,0.575,0.544,0.575,0.33
53134911,0.753,0.672,0.687,0.626,0.367
53135409,0.75,0.664,0.642,0.583,0.371
53141160,0.844,0.666,0.649,0.647,0.303
53144417,0.768,0.78,0.738,0.687,0.245
53144495,0.748,0.688,0.629,0.619,0.381
53144764,0.725,0.78,0.663,0.661,0.411
53146980,0.732,0.71,0.695,0.662,0.263
53149237,0.686,0.71,0.729,0.66,0.231
53153263,0.884,0.777,0.737,0.699,0.393
53154874,0.723,0.674,0.691,0.576,0.354
53164682,0.762,0.753,0.692,0.703,0.209
53166522,0.708,0.584,0.667,0.595,0.28
53167814,0.763,0.747,0.695,0.623,0.38
53172595,0.859,0.657,0.667,0.702,0.229
61933836,0.832,0.744,0.669,0.607,0.27
53172599,0.677,0.77,0.675,0.685,0.345
53175445,0.777,0.691,0.682,0.671,0.253
53175839,0.834,0.759,0.654,0.662,0.26
53178109,0.822,0.752,0.671,0.644,0.319
62926741,0.768,0.79,0.559,0.714,0.302
53184098,0.781,0.765,0.697,0.739,0.237
53184267,0.774,0.78,0.722,0.702,0.249
53184837,0.706,0.684,0.738,0.635,0.31
53185259,0.747,0.668,0.644,0.634,0.353
53190125,0.781,0.651,0.718,0.595,0.307
53193754,0.857,0.755,0.703,0.648,0.314
53194854,0.753,0.642,0.674,0.66,0.196
53196076,0.763,0.721,0.558,0.578,0.286
53197137,0.748,0.69,0.639,0.653,0.174
53204083,0.748,0.636,0.665,0.655,0.217
53205422,0.818,0.599,0.692,0.682,0.254
53208482,0.769,0.657,0.699,0.625,0.275
53215327,0.649,0.779,0.746,0.692,0.251
53216775,0.853,0.587,0.707,0.578,0.336
17960638,0.698,0.713,0.8,0.621,0.126
90778457,0.852,0.62,0.674,0.492,0.402
53218269,0.761,0.617,0.637,0.63,0.344
53221338,0.827,0.713,0.702,0.664,0.242
53222305,0.776,0.654,0.655,0.593,0.376
53235381,0.829,0.678,0.642,0.655,0.321
53238154,0.817,0.789,0.689,0.627,0.495
53245974,0.861,0.683,0.651,0.617,0.44
4339911,0.79,0.709,0.64,0.663,0.307
135911750,0.682,0.65,0.625,0.672,0.276
135918180,0.757,0.675,0.653,0.605,0.373
135919276,0.746,0.656,0.64,0.576,0.367
135921522,0.768,0.655,0.64,0.579,0.381
53250369,0.763,0.62,0.687,0.609,0.244
53253868,0.78,0.656,0.638,0.581,0.392
53280402,0.838,0.772,0.704,0.686,0.292
53295087,0.867,0.737,0.698,0.64,0.37
53296515,0.758,0.755,0.73,0.624,0.248
53297035,0.908,0.775,0.701,0.664,0.372
53317887,0.711,0.634,0.697,0.679,0.463
53318310,0.742,0.664,0.638,0.623,0.405
53333059,0.763,0.678,0.739,0.617,0.364
53338039,0.701,0.639,0.637,0.697,0.27
55275304,0.867,0.628,0.676,0.693,0.458
55299323,0.88,0.744,0.71,0.64,0.379
55300615,0.686,0.619,0.609,0.583,0.337
14416109,0.746,0.675,0.604,0.652,0.326
55307193,0.872,0.716,0.696,0.629,0.384
55309264,0.834,0.609,0.695,0.619,0.444
55309280,0.845,0.738,0.689,0.635,0.258
55321197,0.853,0.796,0.686,0.699,0.228
55326534,0.666,0.729,0.656,0.635,0.293
55327763,0.83,0.554,0.627,0.679,0.399
55333704,0.837,0.787,0.696,0.682,0.217
55338862,0.778,0.668,0.61,0.593,0.322
55351232,0.809,0.574,0.676,0.707,0.394
55351540,0.8,0.769,0.694,0.713,0.312
55352474,0.753,0.665,0.697,0.61,0.366
55355654,0.69,0.641,0.671,0.581,0.302
62936951,0.765,0.679,0.637,0.662,0.365
55369728,0.753,0.759,0.757,0.693,0.156
55374931,0.811,0.685,0.645,0.606,0.322
55376301,0.721,0.725,0.699,0.642,0.257
55389285,0.678,0.625,0.71,0.659,0.3
55396775,0.759,0.601,0.645,0.642,0.316
55400035,0.646,0.692,0.752,0.696,0.247
55401333,0.86,0.787,0.758,0.687,0.234
55406140,0.888,0.659,0.68,0.712,0.349
55406401,0.821,0.631,0.622,0.675,0.326
55410332,0.713,0.582,0.57,0.619,0.364
55416170,0.841,0.736,0.692,0.614,0.397
55422474,0.803,0.592,0.638,0.562,0.517
55424198,0.691,0.661,0.619,0.65,0.347
55433240,0.801,0.663,0.689,0.567,0.37
9907172,0.677,0.663,0.621,0.618,0.309
55443010,0.885,0.723,0.692,0.665,0.319
55446898,0.685,0.641,0.578,0.667,0.539
55451954,0.714,0.586,0.609,0.452,0.471
55463336,0.857,0.735,0.67,0.642,0.305
55464809,0.775,0.665,0.633,0.599,0.389
55472407,0.899,0.661,0.647,0.606,0.362
55473790,0.645,0.671,0.637,0.624,0.298
55479130,0.8,0.63,0.687,0.63,0.358
55481000,0.686,0.526,0.596,0.545,0.407
62109230,0.79,0.738,0.701,0.664,0.5
55488516,0.795,0.579,0.692,0.6,0.344
55492770,0.751,0.657,0.642,0.583,0.369
55502150,0.753,0.59,0.627,0.638,0.389
55507069,0.835,0.677,0.64,0.609,0.359
30008760,0.774,0.754,0.681,0.686,0.206
30267128,0.86,0.688,0.657,0.615,0.328
135923480,0.726,0.675,0.715,0.628,0.35
135933063,0.746,0.73,0.688,0.668,0.328
136018565,0.753,0.745,0.699,0.681,0.304
55525953,0.778,0.675,0.674,0.569,0.345
55528954,0.817,0.564,0.777,0.564,0.282
55531096,0.718,0.693,0.664,0.649,0.299
55532048,0.648,0.663,0.652,0.708,0.33
55592613,0.805,0.723,0.666,0.609,0.383
744313,0.803,0.588,0.665,0.485,0.389
59297690,0.886,0.835,0.714,0.661,0.517
64305175,0.825,0.593,0.619,0.649,0.333
64987774,0.762,0.495,0.666,0.516,0.439
64991518,0.809,0.632,0.646,0.571,0.399
66824339,0.739,0.675,0.633,0.644,0.315
9759932,0.82,0.659,0.681,0.597,0.287
66833459,0.868,0.642,0.736,0.689,0.369
72654991,0.732,0.572,0.685,0.711,0.349
91919470,0.83,0.802,0.709,0.657,0.357
92358824,0.795,0.666,0.647,0.597,0.385
92359611,0.836,0.789,0.701,0.673,0.283
9798822,0.675,0.587,0.583,0.6,0.447
9812912,0.837,0.659,0.688,0.494,0.331
92359619,0.857,0.604,0.714,0.597,0.397
99097188,0.79,0.675,0.649,0.626,0.464
99121784,0.793,0.561,0.661,0.664,0.446
99131569,0.78,0.657,0.629,0.584,0.404
148793738,0.725,0.67,0.682,0.616,0.359
152679518,0.704,0.65,0.653,0.662,0.33
152708664,0.791,0.526,0.564,0.633,0.397
152714766,0.856,0.772,0.661,0.695,0.318
152741998,0.785,0.577,0.626,0.577,0.45
152747316,0.755,0.654,0.64,0.577,0.382
152785073,0.746,0.667,0.665,0.607,0.398
157091467,0.787,0.522,0.595,0.706,0.422
157092782,0.843,0.706,0.639,0.626,0.396
157099880,0.779,0.654,0.644,0.582,0.374
157102563,0.824,0.802,0.679,0.657,0.363
157106615,0.65,0.666,0.638,0.661,0.308
157116484,0.815,0.835,0.713,0.713,0.336
157119286,0.842,0.74,0.675,0.596,0.335
157140968,0.846,0.799,0.777,0.669,0.406
157149887,0.775,0.561,0.628,0.595,0.366
62113055,0.696,0.612,0.674,0.676,0.182
206918348,0.757,0.657,0.635,0.588,0.373
9867582,0.743,0.774,0.679,0.653,0.246
157151010,0.944,0.731,0.705,0.597,0.291
157155118,0.866,0.616,0.667,0.659,0.34
157165662,0.833,0.736,0.655,0.636,0.318
157180599,0.773,0.583,0.728,0.568,0.285
157188965,0.745,0.635,0.608,0.535,0.454
157198755,0.84,0.771,0.673,0.638,0.323
157218534,0.744,0.661,0.605,0.488,0.401
157247429,0.76,0.668,0.649,0.588,0.392
157274639,0.859,0.566,0.713,0.631,0.367
157292303,0.711,0.644,0.601,0.637,0.345
157293857,0.761,0.632,0.631,0.571,0.466
157342432,0.751,0.658,0.763,0.668,0.208
157389290,0.737,0.712,0.652,0.602,0.326
157390580,0.817,0.723,0.673,0.665,0.449
9890492,0.792,0.729,0.67,0.634,0.265
157391282,0.778,0.593,0.709,0.662,0.355
157406727,0.88,0.739,0.74,0.6,0.387
157419346,0.818,0.645,0.607,0.621,0.469
157420855,0.695,0.664,0.744,0.712,0.227
157445680,0.862,0.762,0.707,0.64,0.194
157471276,0.724,0.622,0.611,0.654,0.22
157475200,0.712,0.573,0.613,0.609,0.462
157480188,0.762,0.663,0.633,0.597,0.374
157488488,0.755,0.678,0.61,0.623,0.332
157493303,0.796,0.652,0.623,0.583,0.395
62115401,0.669,0.69,0.709,0.704,0.305
158019227,0.709,0.654,0.653,0.653,0.203
162180475,0.802,0.613,0.707,0.652,0.393
162196112,0.718,0.643,0.686,0.585,0.412
162204428,0.721,0.597,0.588,0.724,0.375
164686885,0.866,0.663,0.729,0.659,0.423
164691705,0.825,0.767,0.651,0.653,0.242
166255573,0.779,0.649,0.639,0.582,0.386
185860787,0.809,0.596,0.653,0.594,0.408
62954343,0.718,0.705,0.647,0.693,0.289
14140619,0.802,0.754,0.762,0.687,0.22
14416404,0.785,0.594,0.608,0.611,0.374
185886345,0.939,0.783,0.701,0.669,0.294
185888291,0.672,0.686,0.685,0.676,0.301
185902260,0.8,0.785,0.719,0.703,0.27
185903722,0.8,0.52,0.622,0.617,0.396
185971549,0.743,0.691,0.65,0.615,0.398
185984449,0.861,0.651,0.694,0.597,0.353
185991596,0.774,0.664,0.661,0.629,0.325
239355820,0.75,0.673,0.643,0.594,0.397
276697454,0.781,0.619,0.627,0.537,0.47
276706356,0.785,0.646,0.648,0.583,0.364
276715917,0.906,0.757,0.721,0.598,0.394
298295124,0.857,0.569,0.694,0.545,0.394
298791059,0.813,0.594,0.665,0.631,0.424
298967088,0.833,0.781,0.714,0.663,0.418
299926425,0.806,0.642,0.638,0.666,0.417
299932350,0.895,0.752,0.742,0.6,0.392
300346091,0.768,0.654,0.651,0.581,0.375
300370410,0.788,0.682,0.586,0.587,0.377
300392950,0.794,0.734,0.647,0.699,0.272
300490268,0.733,0.702,0.642,0.616,0.362
300599613,0.827,0.657,0.731,0.649,0.366
301246382,0.844,0.635,0.688,0.688,0.459
301290506,0.796,0.622,0.612,0.624,0.494
352297378,0.779,0.546,0.585,0.589,0.506
352322827,0.843,0.629,0.682,0.579,0.349
352359490,0.87,0.724,0.699,0.704,0.321
352360566,0.739,0.706,0.683,0.658,0.173
352410284,0.807,0.647,0.619,0.622,0.255
352411678,0.744,0.594,0.587,0.627,0.446
352462253,0.738,0.66,0.713,0.58,0.308
352491666,0.771,0.712,0.639,0.59,0.356
352503542,0.829,0.777,0.665,0.631,0.312
352534407,0.675,0.671,0.653,0.586,0.348
132368524,0.704,0.671,0.632,0.612,0.373
359824318,0.758,0.763,0.716,0.677,0.289
359909990,0.768,0.664,0.646,0.59,0.385
359932062,0.723,0.69,0.686,0.612,0.411
360025190,0.781,0.572,0.598,0.576,0.389
360060570,0.92,0.707,0.696,0.656,0.325
360094552,0.833,0.637,0.771,0.668,0.47
360099026,0.836,0.746,0.7,0.642,0.274
360149797,0.782,0.816,0.688,0.665,0.322
360169494,0.745,0.701,0.681,0.701,0.248
360184444,0.753,0.674,0.65,0.593,0.393
360201513,0.875,0.756,0.677,0.643,0.379
360203997,0.729,0.651,0.704,0.658,0.351
360207306,0.791,0.585,0.608,0.594,0.34
541182423,0.791,0.671,0.632,0.598,0.407
541184750,0.745,0.749,0.673,0.69,0.566
541233543,0.715,0.536,0.653,0.442,0.416
549702364,0.737,0.667,0.642,0.586,0.365
62954615,0.836,0.729,0.659,0.671,0.472
231744293,0.789,0.797,0.726,0.71,0.229
258992288,0.74,0.731,0.673,0.638,0.294
259018146,0.809,0.615,0.684,0.698,0.429
259022131,0.74,0.693,0.657,0.635,0.447
66787082,0.802,0.557,0.652,0.654,0.451
259030794,0.81,0.767,0.712,0.678,0.405
259034639,0.945,0.773,0.779,0.594,0.338
259065905,0.648,0.617,0.629,0.65,0.312
259074185,0.865,0.736,0.764,0.649,0.348
66803871,0.742,0.693,0.832,0.678,0.242
259090299,0.743,0.515,0.557,0.588,0.507
259110723,0.748,0.726,0.667,0.686,0.464
259118584,0.736,0.609,0.621,0.672,0.397
259150636,0.79,0.832,0.701,0.679,0.305
25230191,0.755,0.649,0.644,0.581,0.365
259172990,0.762,0.658,0.646,0.587,0.373
259176717,0.723,0.647,0.72,0.677,0.434
259210197,0.817,0.762,0.703,0.633,0.428
259230656,0.782,0.509,0.675,0.563,0.415
259286437,0.69,0.629,0.609,0.475,0.353
259288589,0.704,0.66,0.617,0.606,0.32
259309508,0.787,0.721,0.655,0.562,0.338
259315132,0.761,0.666,0.648,0.589,0.399
259315354,0.804,0.779,0.714,0.669,0.286
259320530,0.833,0.824,0.695,0.71,0.307
259365099,0.708,0.58,0.631,0.465,0.403
259378270,0.64,0.658,0.634,0.622,0.281
259379883,0.851,0.817,0.725,0.652,0.371
14335498,0.628,0.663,0.681,0.715,0.26
259386499,0.767,0.668,0.641,0.596,0.373
259387453,0.822,0.765,0.67,0.659,0.308
259392555,0.887,0.768,0.748,0.613,0.423
259394959,0.875,0.705,0.601,0.586,0.357
259395258,0.849,0.703,0.656,0.7,0.289
14336347,0.751,0.681,0.676,0.671,0.265
259399482,0.735,0.621,0.651,0.629,0.367
259425300,0.849,0.739,0.678,0.615,0.357
21411216,0.735,0.64,0.652,0.684,0.421
259516003,0.767,0.74,0.653,0.681,0.332
259519690,0.803,0.654,0.67,0.572,0.437
16473953,0.8,0.666,0.669,0.683,0.482
64795567,0.824,0.616,0.628,0.668,0.377
65416613,0.671,0.657,0.577,0.638,0.387
65537597,0.875,0.642,0.713,0.578,0.409
259521523,0.833,0.796,0.754,0.694,0.293
259530748,0.909,0.687,0.692,0.649,0.41
259545849,0.898,0.761,0.674,0.627,0.468
259547274,0.729,0.692,0.689,0.68,0.247
16483141,0.83,0.775,0.725,0.599,0.318
65541400,0.797,0.657,0.631,0.581,0.407
71012645,0.738,0.679,0.655,0.6,0.416
71015564,0.826,0.6,0.597,0.666,0.41
72998955,0.726,0.669,0.65,0.685,0.355
259547871,0.745,0.623,0.702,0.608,0.244
259566724,0.855,0.708,0.634,0.637,0.282
259572063,0.838,0.719,0.674,0.679,0.268
259574222,0.778,0.659,0.644,0.583,0.386
259584116,0.906,0.6,0.685,0.627,0.361
73050516,0.749,0.666,0.64,0.583,0.364
73254134,0.743,0.68,0.744,0.709,0.201
73258784,0.738,0.693,0.688,0.686,0.285
92748462,0.789,0.75,0.789,0.743,0.289
92751415,0.733,0.742,0.678,0.727,0.266
92767002,0.757,0.665,0.647,0.586,0.408
259591315,0.771,0.653,0.644,0.58,0.375
259611070,0.754,0.682,0.658,0.675,0.479
259634765,0.768,0.644,0.58,0.639,0.366
14342202,0.86,0.721,0.724,0.67,0.384
259641511,0.796,0.571,0.688,0.637,0.391
259730428,0.715,0.721,0.718,0.662,0.25
259737440,0.753,0.614,0.689,0.696,0.377
259763895,0.801,0.65,0.653,0.652,0.214
310054442,0.745,0.592,0.646,0.488,0.456
259770886,0.757,0.749,0.72,0.673,0.186
259770910,0.69,0.671,0.653,0.59,0.371
259785928,0.775,0.647,0.633,0.578,0.381
259827911,0.716,0.746,0.602,0.715,0.323
259834925,0.764,0.708,0.632,0.699,0.262
259842341,0.791,0.674,0.634,0.602,0.398
259848814,0.789,0.709,0.664,0.558,0.252
259849221,0.825,0.65,0.646,0.639,0.373
23889412,0.743,0.673,0.733,0.713,0.23
259861738,0.808,0.756,0.703,0.656,0.205
259864443,0.745,0.712,0.711,0.66,0.241
259884862,0.753,0.652,0.697,0.489,0.309
14378113,0.855,0.763,0.665,0.674,0.196
308844673,0.736,0.663,0.634,0.583,0.36
259955657,0.754,0.681,0.67,0.63,0.37
259963031,0.74,0.599,0.588,0.602,0.367
259965997,0.769,0.652,0.637,0.58,0.376
14386631,0.744,0.701,0.665,0.651,0.451
39042028,0.759,0.674,0.64,0.6,0.375
234141596,0.698,0.723,0.637,0.628,0.29
259984745,0.86,0.619,0.71,0.651,0.385
259984813,0.778,0.59,0.686,0.644,0.395
259998924,0.79,0.664,0.722,0.689,0.245
16027078,0.771,0.567,0.622,0.642,0.375
286679274,0.756,0.666,0.645,0.612,0.358
155449888,0.706,0.69,0.578,0.605,0.409
155478997,0.698,0.597,0.653,0.586,0.452
155483607,0.709,0.556,0.535,0.721,0.443
155488129,0.727,0.689,0.669,0.616,0.405
155498529,0.738,0.683,0.648,0.609,0.392
260077133,0.76,0.698,0.67,0.715,0.475
260083662,0.819,0.841,0.723,0.704,0.348
260125978,0.847,0.552,0.701,0.496,0.4
286903189,0.762,0.658,0.643,0.577,0.38
260131861,0.872,0.599,0.704,0.576,0.374
260137634,0.821,0.657,0.65,0.651,0.384
260137838,0.779,0.597,0.636,0.661,0.389
260141933,0.73,0.665,0.678,0.594,0.381
263964826,0.817,0.635,0.634,0.583,0.396
282209274,0.76,0.748,0.702,0.63,0.437
282268551,0.799,0.533,0.686,0.626,0.389
294884925,0.866,0.622,0.672,0.646,0.393
313680757,0.827,0.677,0.661,0.703,0.404
313681355,0.732,0.768,0.678,0.666,0.35
313683522,0.78,0.633,0.656,0.602,0.398
313704667,0.77,0.682,0.61,0.581,0.38
313825894,0.728,0.765,0.63,0.645,0.416
310058709,0.887,0.715,0.675,0.632,0.449
313846689,0.775,0.679,0.694,0.629,0.305
2363571,0.935,0.761,0.733,0.632,0.311
313899143,0.789,0.662,0.665,0.687,0.276
313916789,0.863,0.763,0.751,0.674,0.307
314038032,0.753,0.768,0.715,0.668,0.172
314049912,0.834,0.667,0.743,0.63,0.312
314062102,0.792,0.583,0.656,0.548,0.358
314096520,0.818,0.801,0.72,0.704,0.302
314098636,0.786,0.605,0.611,0.679,0.424
314107249,0.765,0.659,0.643,0.579,0.381
314114737,0.781,0.794,0.742,0.647,0.298
314120493,0.7,0.696,0.636,0.643,0.259
314131635,0.8,0.655,0.65,0.618,0.281
314136785,0.817,0.663,0.715,0.598,0.383
314153701,0.814,0.748,0.653,0.658,0.373
9290802,0.748,0.596,0.573,0.583,0.351
314199860,0.763,0.643,0.678,0.745,0.356
314227065,0.734,0.764,0.667,0.687,0.255
314239617,0.824,0.795,0.703,0.58,0.392
314273466,0.758,0.668,0.647,0.625,0.356
314291438,0.829,0.718,0.72,0.655,0.357
314316607,0.896,0.785,0.745,0.677,0.427
314340918,0.76,0.729,0.678,0.654,0.309
314387523,0.811,0.596,0.687,0.481,0.201
314459386,0.742,0.71,0.609,0.663,0.179
314525698,0.85,0.732,0.659,0.606,0.338
314553133,0.817,0.62,0.6,0.597,0.364
314585181,0.824,0.619,0.697,0.692,0.309
314628781,0.761,0.624,0.592,0.642,0.484
314659476,0.771,0.724,0.683,0.66,0.216
121234714,0.797,0.71,0.647,0.671,0.226
314661942,0.804,0.662,0.63,0.662,0.392
314662792,0.851,0.747,0.649,0.656,0.314
314670099,0.73,0.699,0.658,0.661,0.253
314701207,0.861,0.589,0.638,0.677,0.35
18206919,0.801,0.658,0.629,0.666,0.461
18157057,0.816,0.646,0.679,0.65,0.479
18158500,0.742,0.63,0.635,0.528,0.374
314732011,0.781,0.649,0.655,0.592,0.379
314734443,0.773,0.612,0.652,0.494,0.438
314738283,0.756,0.681,0.678,0.584,0.385
314738543,0.866,0.672,0.638,0.681,0.39
314751078,0.765,0.633,0.597,0.465,0.403
314761260,0.743,0.669,0.756,0.652,0.262
314794235,0.736,0.672,0.631,0.654,0.3
314798537,0.774,0.654,0.65,0.585,0.371
15349227,0.901,0.767,0.787,0.691,0.29
314801629,0.844,0.607,0.727,0.649,0.376
314864509,0.857,0.668,0.717,0.547,0.335
314882376,0.826,0.658,0.64,0.621,0.395
314903259,0.846,0.736,0.683,0.618,0.289
314904998,0.786,0.654,0.638,0.58,0.395
314922967,0.769,0.653,0.739,0.609,0.289
314961864,0.719,0.64,0.714,0.643,0.273
