id,o,c,e,a,n
22026474,0.647,0.499,0.429,0.608,0.226
35760510,0.561,0.512,0.363,0.488,0.571
35761106,0.313,0.550,0.525,0.648,0.296
35762860,0.170,0.516,0.447,0.552,0.393
35763275,0.783,0.743,0.518,0.548,0.285
36155411,0.523,0.682,0.643,0.662,0.235
36156834,0.566,0.436,0.449,0.538,0.363
36159652,0.583,0.478,0.456,0.639,0.352
9763482,0.275,0.436,0.378,0.573,0.324
9785602,0.459,0.247,0.363,0.571,0.720
36171144,0.602,0.344,0.287,0.498,0.462
36182101,0.375,0.287,0.486,0.517,0.432
36182824,0.332,0.350,0.415,0.774,0.302
36184872,0.330,0.535,0.474,0.530,0.484
30905987,0.268,0.529,0.439,0.559,0.528
36191770,0.511,0.512,0.513,0.457,0.471
36191823,0.702,0.678,0.549,0.600,0.536
36191959,0.528,0.234,0.574,0.527,0.530
36192626,0.371,0.398,0.459,0.644,0.395
36198161,0.735,0.670,0.503,0.523,0.443
36204399,0.306,0.390,0.300,0.652,0.374
36204825,0.619,0.375,0.483,0.519,0.488
36583122,0.299,0.590,0.586,0.571,0.131
36714467,0.309,0.748,0.336,0.650,0.387
36714549,0.726,0.737,0.540,0.646,0.484
36719281,0.557,0.706,0.792,0.758,0.203
36719499,0.361,0.407,0.410,0.552,0.374
9826772,0.433,0.493,0.427,0.486,0.578
9827732,0.733,0.550,0.660,0.637,0.436
42009141,0.638,0.506,0.520,0.598,0.395
44788330,0.547,0.316,0.515,0.594,0.556
44789768,0.537,0.663,0.616,0.617,0.237
44846684,0.425,0.481,0.439,0.471,0.526
52871994,0.590,0.291,0.498,0.552,0.486
360356745,0.335,0.432,0.564,0.573,0.328
52883238,0.573,0.392,0.329,0.482,0.332
52892654,0.435,0.483,0.459,0.474,0.510
52902163,0.495,0.300,0.412,0.685,0.675
52904881,0.678,0.523,0.630,0.600,0.716
52905424,0.337,0.396,0.589,0.478,0.393
52918943,0.423,0.497,0.322,0.445,0.565
52921579,0.170,0.384,0.385,0.662,0.584
52922310,0.533,0.312,0.505,0.544,0.545
52931399,0.344,0.344,0.476,0.658,0.526
360381383,0.688,0.384,0.527,0.614,0.475
52934175,0.771,0.769,0.667,0.627,0.252
52937837,0.456,0.279,0.471,0.639,0.439
52938069,0.483,0.487,0.434,0.480,0.571
52939106,0.471,0.722,0.718,0.544,0.547
52942244,0.325,0.443,0.625,0.561,0.454
52948662,0.456,0.603,0.488,0.561,0.436
52968650,0.335,0.432,0.434,0.407,0.567
52969707,0.430,0.478,0.437,0.474,0.515
52973741,0.597,0.422,0.525,0.602,0.499
52974864,0.492,0.487,0.437,0.490,0.571
14407823,0.483,0.716,0.640,0.726,0.179
14408705,0.199,0.476,0.371,0.511,0.384
52987095,0.416,0.495,0.434,0.488,0.593
52988966,0.313,0.544,0.527,0.712,0.231
52992830,0.597,0.464,0.564,0.612,0.673
53009459,0.571,0.499,0.581,0.612,0.389
53022339,0.425,0.518,0.329,0.536,0.577
14410862,0.707,0.563,0.616,0.621,0.497
53023494,0.261,0.663,0.395,0.650,0.382
53023864,0.242,0.510,0.628,0.658,0.317
53024206,0.037,0.636,0.488,0.768,0.400
53025463,0.466,0.836,0.136,0.963,0.330
53025660,0.442,0.752,0.341,0.673,0.326
53039176,0.313,0.592,0.322,0.718,0.397
53043664,0.318,0.558,0.420,0.581,0.649
53047484,0.328,0.346,0.153,0.509,0.493
360389862,0.509,0.457,0.422,0.561,0.343
53082555,0.413,0.499,0.361,0.515,0.519
53093039,0.561,0.586,0.564,0.619,0.590
53096698,0.337,0.533,0.540,0.532,0.551
53101696,0.709,0.703,0.638,0.567,0.343
53112474,0.630,0.611,0.718,0.534,0.523
53113348,0.728,0.563,0.645,0.637,0.556
53115044,0.387,0.621,0.410,0.575,0.280
53116615,0.342,0.581,0.549,0.610,0.419
53120768,0.273,0.478,0.312,0.567,0.319
53126140,0.642,0.647,0.557,0.610,0.261
53130156,0.421,0.703,0.596,0.625,0.268
53130511,0.480,0.331,0.363,0.285,0.636
53131734,0.540,0.386,0.410,0.567,0.296
23886736,0.578,0.489,0.557,0.652,0.512
22509548,0.225,0.594,0.439,0.362,0.488
53134408,0.523,0.302,0.197,0.451,0.445
53134911,0.411,0.506,0.547,0.556,0.513
53135409,0.404,0.489,0.437,0.467,0.521
53141160,0.628,0.493,0.454,0.600,0.395
53144417,0.447,0.733,0.672,0.683,0.287
53144495,0.399,0.539,0.405,0.542,0.539
53144764,0.344,0.733,0.488,0.629,0.595
53146980,0.361,0.586,0.567,0.631,0.320
53149237,0.251,0.586,0.650,0.627,0.261
53153263,0.723,0.727,0.669,0.708,0.562
53154874,0.340,0.510,0.557,0.453,0.489
53164682,0.433,0.676,0.559,0.716,0.220
53166522,0.304,0.321,0.498,0.492,0.352
53167814,0.435,0.663,0.567,0.550,0.538
53172595,0.664,0.474,0.498,0.714,0.257
61933836,0.599,0.657,0.503,0.517,0.333
53172599,0.230,0.712,0.518,0.679,0.473
53175445,0.468,0.546,0.535,0.650,0.302
53175839,0.604,0.689,0.466,0.631,0.315
53178109,0.576,0.674,0.508,0.594,0.424
62926741,0.447,0.754,0.234,0.739,0.393
53184098,0.478,0.701,0.572,0.791,0.272
53184267,0.461,0.733,0.633,0.714,0.294
53184837,0.299,0.531,0.672,0.575,0.408
53185259,0.397,0.497,0.442,0.573,0.488
53190125,0.478,0.462,0.623,0.492,0.402
53193754,0.659,0.680,0.586,0.602,0.415
53194854,0.411,0.443,0.515,0.627,0.196
53196076,0.435,0.609,0.231,0.457,0.363
53197137,0.399,0.544,0.429,0.612,0.155
53204083,0.399,0.430,0.493,0.617,0.235
53205422,0.566,0.352,0.559,0.673,0.304
53208482,0.449,0.474,0.576,0.554,0.343
53215327,0.163,0.731,0.691,0.693,0.298
53216775,0.650,0.327,0.596,0.457,0.456
17960638,0.280,0.592,0.824,0.546,0.066
90778457,0.647,0.396,0.515,0.279,0.578
53218269,0.430,0.390,0.425,0.565,0.471
53221338,0.588,0.592,0.584,0.635,0.281
53222305,0.466,0.468,0.469,0.488,0.530
53235381,0.592,0.518,0.437,0.617,0.428
53238154,0.564,0.752,0.552,0.559,0.751
53245974,0.669,0.529,0.459,0.538,0.649
4339911,0.499,0.584,0.432,0.633,0.402
135911750,0.242,0.459,0.395,0.652,0.345
135918180,0.421,0.512,0.464,0.513,0.525
135919276,0.394,0.472,0.432,0.453,0.513
135921522,0.447,0.470,0.432,0.459,0.539
53250369,0.435,0.396,0.547,0.521,0.285
53253868,0.475,0.472,0.427,0.463,0.560
53280402,0.614,0.716,0.589,0.681,0.374
53295087,0.683,0.642,0.574,0.585,0.519
53296515,0.423,0.680,0.652,0.552,0.293
53297035,0.781,0.722,0.581,0.635,0.523
53317887,0.311,0.426,0.572,0.666,0.692
53318310,0.385,0.489,0.427,0.550,0.584
53333059,0.435,0.518,0.674,0.538,0.508
53338039,0.287,0.436,0.425,0.704,0.333
55275304,0.683,0.413,0.520,0.695,0.682
55299323,0.714,0.657,0.603,0.585,0.536
55300615,0.251,0.394,0.356,0.467,0.458
14416109,0.394,0.512,0.344,0.610,0.437
55307193,0.695,0.598,0.569,0.563,0.545
55309264,0.604,0.373,0.567,0.542,0.656
55309280,0.630,0.645,0.552,0.575,0.311
55321197,0.650,0.767,0.545,0.708,0.255
55326534,0.204,0.626,0.471,0.575,0.376
55327763,0.595,0.258,0.400,0.666,0.573
55333704,0.611,0.748,0.569,0.673,0.235
55338862,0.471,0.497,0.358,0.488,0.430
55351232,0.545,0.300,0.520,0.724,0.564
55351540,0.523,0.710,0.564,0.737,0.411
55352474,0.411,0.491,0.572,0.523,0.512
55355654,0.261,0.441,0.508,0.463,0.393
62936951,0.440,0.520,0.425,0.631,0.510
55369728,0.411,0.689,0.718,0.695,0.122
55374931,0.549,0.533,0.444,0.515,0.430
55376301,0.335,0.617,0.576,0.590,0.309
55389285,0.232,0.407,0.603,0.625,0.389
55396775,0.425,0.356,0.444,0.590,0.419
55400035,0.156,0.548,0.706,0.702,0.291
55401333,0.666,0.748,0.721,0.683,0.267
55406140,0.733,0.478,0.530,0.735,0.480
55406401,0.573,0.420,0.388,0.658,0.437
55410332,0.316,0.316,0.261,0.542,0.508
55416170,0.621,0.640,0.559,0.532,0.569
55422474,0.530,0.338,0.427,0.424,0.792
55424198,0.263,0.483,0.381,0.606,0.476
55433240,0.526,0.487,0.552,0.434,0.519
9907172,0.230,0.487,0.385,0.540,0.406
55443010,0.726,0.613,0.559,0.637,0.424
55446898,0.249,0.441,0.280,0.641,0.833
55451954,0.318,0.325,0.356,0.196,0.707
55463336,0.659,0.638,0.505,0.590,0.398
55464809,0.464,0.491,0.415,0.500,0.554
55472407,0.759,0.483,0.449,0.515,0.504
55473790,0.154,0.504,0.425,0.552,0.385
55479130,0.523,0.417,0.547,0.565,0.497
55481000,0.251,0.199,0.324,0.389,0.588
62109230,0.499,0.645,0.581,0.635,0.760
55488516,0.511,0.310,0.559,0.503,0.471
55492770,0.406,0.474,0.437,0.467,0.517
55502150,0.411,0.333,0.400,0.581,0.554
55507069,0.607,0.516,0.432,0.521,0.499
30008760,0.461,0.678,0.532,0.681,0.215
30267128,0.666,0.539,0.474,0.534,0.441
135923480,0.347,0.512,0.616,0.561,0.482
135933063,0.394,0.628,0.549,0.644,0.441
136018565,0.411,0.659,0.576,0.670,0.397
55525953,0.471,0.512,0.515,0.438,0.473
55528954,0.564,0.279,0.767,0.428,0.356
55531096,0.328,0.550,0.491,0.604,0.387
55532048,0.161,0.487,0.461,0.726,0.445
55592613,0.535,0.613,0.496,0.521,0.543
744313,0.530,0.329,0.493,0.264,0.554
59297690,0.728,0.849,0.613,0.629,0.792
64305175,0.583,0.340,0.381,0.604,0.450
64987774,0.433,0.133,0.496,0.328,0.647
64991518,0.545,0.422,0.447,0.442,0.573
66824339,0.378,0.512,0.415,0.594,0.417
9759932,0.571,0.478,0.532,0.496,0.365
66833459,0.685,0.443,0.667,0.687,0.517
72654991,0.361,0.295,0.542,0.733,0.480
91919470,0.595,0.779,0.601,0.621,0.495
92358824,0.511,0.493,0.449,0.496,0.547
92359611,0.609,0.752,0.581,0.654,0.358
9798822,0.225,0.327,0.292,0.503,0.662
9812912,0.611,0.478,0.549,0.283,0.447
92359619,0.659,0.363,0.613,0.496,0.569
99097188,0.499,0.512,0.454,0.556,0.694
99121784,0.506,0.272,0.483,0.635,0.660
99131569,0.475,0.474,0.405,0.469,0.582
148793738,0.344,0.502,0.535,0.536,0.499
152679518,0.294,0.459,0.464,0.631,0.445
152708664,0.502,0.199,0.246,0.571,0.569
152714766,0.657,0.716,0.483,0.699,0.423
152741998,0.487,0.306,0.398,0.455,0.668
152747316,0.416,0.468,0.432,0.455,0.541
152785073,0.394,0.495,0.493,0.517,0.571
157091467,0.492,0.190,0.322,0.722,0.616
157092782,0.626,0.577,0.429,0.556,0.567
157099880,0.473,0.468,0.442,0.465,0.526
157102563,0.580,0.779,0.527,0.621,0.506
157106615,0.166,0.493,0.427,0.629,0.404
157116484,0.559,0.849,0.611,0.737,0.456
157119286,0.623,0.649,0.518,0.494,0.454
157140968,0.633,0.773,0.767,0.646,0.586
157149887,0.464,0.272,0.403,0.492,0.512
62113055,0.275,0.380,0.515,0.660,0.170
206918348,0.421,0.474,0.420,0.478,0.525
9867582,0.387,0.720,0.527,0.612,0.289
157151010,0.866,0.630,0.591,0.496,0.372
157155118,0.681,0.388,0.498,0.625,0.463
157165662,0.602,0.640,0.469,0.577,0.423
157180599,0.459,0.319,0.647,0.436,0.361
157188965,0.392,0.428,0.354,0.368,0.675
157198755,0.619,0.714,0.513,0.581,0.432
157218534,0.390,0.483,0.346,0.270,0.577
157247429,0.428,0.497,0.454,0.478,0.560
157274639,0.664,0.283,0.611,0.567,0.513
157292303,0.311,0.447,0.336,0.579,0.473
157293857,0.430,0.422,0.410,0.442,0.697
157342432,0.406,0.476,0.733,0.644,0.218
157389290,0.373,0.590,0.461,0.507,0.437
157390580,0.564,0.613,0.513,0.637,0.666
9890492,0.504,0.626,0.505,0.573,0.324
157391282,0.471,0.340,0.601,0.631,0.491
157406727,0.714,0.647,0.677,0.503,0.551
157419346,0.566,0.449,0.351,0.546,0.703
157420855,0.273,0.489,0.687,0.735,0.254
157445680,0.671,0.695,0.596,0.585,0.192
157471276,0.342,0.401,0.361,0.614,0.241
157475200,0.313,0.298,0.366,0.521,0.690
157480188,0.433,0.487,0.415,0.496,0.526
157488488,0.416,0.518,0.358,0.550,0.449
157493303,0.514,0.464,0.390,0.467,0.565
62115401,0.211,0.544,0.601,0.718,0.398
158019227,0.306,0.468,0.464,0.612,0.209
162180475,0.528,0.382,0.596,0.610,0.562
162196112,0.328,0.445,0.545,0.471,0.597
162204428,0.335,0.348,0.305,0.760,0.528
164686885,0.681,0.487,0.650,0.625,0.617
164691705,0.583,0.706,0.459,0.612,0.281
166255573,0.473,0.457,0.429,0.465,0.549
185860787,0.545,0.346,0.464,0.490,0.590
62954343,0.328,0.575,0.449,0.695,0.369
14140619,0.528,0.678,0.731,0.683,0.241
14416404,0.487,0.342,0.354,0.525,0.526
185886345,0.855,0.739,0.581,0.646,0.378
185888291,0.218,0.535,0.542,0.660,0.391
185902260,0.523,0.743,0.625,0.716,0.333
185903722,0.523,0.186,0.388,0.538,0.567
185971549,0.387,0.546,0.456,0.534,0.571
185984449,0.669,0.462,0.564,0.496,0.488
185991596,0.461,0.489,0.483,0.563,0.436
239355820,0.404,0.508,0.439,0.490,0.569
276697454,0.478,0.394,0.400,0.372,0.705
276706356,0.487,0.451,0.452,0.467,0.508
276715917,0.776,0.685,0.630,0.498,0.564
298295124,0.659,0.289,0.564,0.389,0.564
298791059,0.554,0.342,0.493,0.567,0.619
298967088,0.602,0.735,0.613,0.633,0.608
299926425,0.537,0.443,0.427,0.639,0.606
299932350,0.750,0.674,0.682,0.503,0.560
300346091,0.447,0.468,0.459,0.463,0.528
300370410,0.495,0.527,0.300,0.476,0.532
300392950,0.509,0.636,0.449,0.708,0.337
300490268,0.363,0.569,0.437,0.536,0.504
300599613,0.588,0.474,0.655,0.604,0.512
301246382,0.628,0.428,0.549,0.685,0.684
301290506,0.514,0.401,0.363,0.552,0.749
352297378,0.473,0.241,0.297,0.480,0.772
352322827,0.626,0.415,0.535,0.459,0.480
352359490,0.690,0.615,0.576,0.718,0.428
352360566,0.378,0.577,0.537,0.623,0.153
352410284,0.540,0.453,0.381,0.548,0.306
352411678,0.390,0.342,0.302,0.559,0.660
352462253,0.375,0.481,0.611,0.461,0.404
352491666,0.454,0.590,0.429,0.482,0.493
352503542,0.592,0.727,0.493,0.567,0.411
352534407,0.225,0.504,0.464,0.474,0.478
132368524,0.294,0.504,0.412,0.527,0.525
359824318,0.423,0.697,0.618,0.662,0.369
359909990,0.447,0.489,0.447,0.482,0.547
359932062,0.340,0.544,0.545,0.527,0.595
360025190,0.478,0.295,0.329,0.453,0.554
360060570,0.809,0.579,0.569,0.619,0.436
360094552,0.602,0.432,0.753,0.644,0.705
360099026,0.609,0.661,0.579,0.590,0.341
360149797,0.480,0.809,0.549,0.637,0.430
360169494,0.392,0.567,0.532,0.712,0.293
360184444,0.411,0.510,0.456,0.488,0.562
360201513,0.702,0.682,0.523,0.592,0.536
360203997,0.354,0.462,0.589,0.623,0.484
360207306,0.502,0.323,0.354,0.490,0.463
541182423,0.502,0.504,0.412,0.498,0.588
541184750,0.392,0.668,0.513,0.689,0.883
541233543,0.320,0.220,0.464,0.175,0.604
549702364,0.373,0.495,0.437,0.474,0.510
62954615,0.609,0.626,0.478,0.650,0.708
231744293,0.497,0.769,0.643,0.731,0.257
258992288,0.380,0.630,0.513,0.581,0.378
259018146,0.545,0.386,0.540,0.706,0.629
259022131,0.380,0.550,0.474,0.575,0.662
66787082,0.528,0.264,0.461,0.614,0.669
259030794,0.547,0.706,0.608,0.664,0.584
259034639,0.869,0.718,0.772,0.490,0.460
259065905,0.161,0.390,0.405,0.606,0.411
259074185,0.678,0.640,0.736,0.604,0.478
66803871,0.385,0.550,0.902,0.664,0.281
259090299,0.387,0.176,0.229,0.478,0.773
259110723,0.399,0.619,0.498,0.681,0.694
259118584,0.371,0.373,0.385,0.652,0.569
259150636,0.499,0.842,0.581,0.666,0.398
25230191,0.416,0.457,0.442,0.463,0.510
259172990,0.433,0.476,0.447,0.476,0.525
259176717,0.340,0.453,0.628,0.662,0.638
259210197,0.564,0.695,0.586,0.571,0.627
259230656,0.480,0.163,0.518,0.426,0.603
259286437,0.261,0.415,0.356,0.243,0.488
259288589,0.294,0.481,0.376,0.515,0.426
259309508,0.492,0.609,0.469,0.424,0.460
259315132,0.430,0.493,0.452,0.480,0.573
259315354,0.533,0.731,0.613,0.646,0.363
259320530,0.602,0.825,0.567,0.731,0.402
259365099,0.304,0.312,0.410,0.223,0.580
259378270,0.142,0.476,0.417,0.548,0.354
259379883,0.645,0.811,0.640,0.610,0.521
14335498,0.113,0.487,0.532,0.741,0.315
259386499,0.444,0.497,0.434,0.494,0.525
259387453,0.576,0.701,0.505,0.625,0.404
259392555,0.731,0.708,0.696,0.530,0.617
259394959,0.702,0.575,0.336,0.474,0.495
259395258,0.640,0.571,0.471,0.710,0.369
14336347,0.406,0.525,0.520,0.650,0.324
259399482,0.368,0.398,0.459,0.563,0.513
259425300,0.640,0.647,0.525,0.534,0.495
21411216,0.368,0.438,0.461,0.677,0.614
259516003,0.444,0.649,0.464,0.670,0.449
259519690,0.530,0.468,0.505,0.445,0.643
16473953,0.523,0.493,0.503,0.675,0.727
64795567,0.580,0.388,0.403,0.644,0.532
65416613,0.216,0.474,0.278,0.581,0.551
65537597,0.702,0.443,0.611,0.457,0.591
259521523,0.602,0.767,0.711,0.697,0.376
259530748,0.783,0.537,0.559,0.604,0.593
259545849,0.757,0.693,0.515,0.559,0.701
259547274,0.354,0.548,0.552,0.668,0.291
16483141,0.595,0.722,0.640,0.500,0.423
65541400,0.516,0.474,0.410,0.463,0.588
71012645,0.375,0.520,0.469,0.503,0.604
71015564,0.585,0.354,0.327,0.639,0.593
72998955,0.347,0.499,0.456,0.679,0.491
259547871,0.392,0.403,0.584,0.519,0.285
259566724,0.654,0.581,0.417,0.579,0.356
259572063,0.614,0.605,0.515,0.666,0.330
259574222,0.471,0.478,0.442,0.467,0.549
259584116,0.776,0.354,0.542,0.559,0.502
73050516,0.402,0.493,0.432,0.467,0.508
73254134,0.387,0.523,0.687,0.728,0.205
73258784,0.375,0.550,0.549,0.681,0.361
92748462,0.497,0.670,0.797,0.799,0.369
92751415,0.363,0.653,0.525,0.766,0.326
92767002,0.421,0.491,0.449,0.474,0.590
259591315,0.454,0.466,0.442,0.461,0.528
259611070,0.413,0.527,0.476,0.658,0.721
259634765,0.447,0.447,0.285,0.583,0.512
14342202,0.666,0.609,0.638,0.648,0.545
259641511,0.514,0.293,0.549,0.579,0.558
259730428,0.320,0.609,0.623,0.631,0.296
259737440,0.411,0.384,0.552,0.702,0.532
259763895,0.526,0.459,0.464,0.610,0.229
310054442,0.392,0.338,0.447,0.270,0.679
259770886,0.421,0.668,0.628,0.654,0.177
259770910,0.261,0.504,0.464,0.482,0.521
259785928,0.464,0.453,0.415,0.457,0.539
259827911,0.323,0.661,0.339,0.741,0.432
259834925,0.437,0.581,0.412,0.708,0.319
259842341,0.502,0.510,0.417,0.507,0.571
259848814,0.497,0.584,0.491,0.416,0.300
259849221,0.583,0.459,0.447,0.583,0.525
23889412,0.387,0.508,0.660,0.737,0.259
259861738,0.542,0.682,0.586,0.619,0.213
259864443,0.392,0.590,0.606,0.627,0.280
259884862,0.411,0.464,0.572,0.273,0.406
14378113,0.654,0.697,0.493,0.656,0.196
308844673,0.371,0.487,0.417,0.467,0.500
259955657,0.413,0.525,0.505,0.565,0.519
259963031,0.380,0.352,0.305,0.507,0.513
259965997,0.449,0.464,0.425,0.461,0.530
14386631,0.390,0.567,0.493,0.608,0.669
39042028,0.425,0.510,0.432,0.503,0.528
234141596,0.280,0.613,0.425,0.561,0.371
259984745,0.666,0.394,0.603,0.608,0.547
259984813,0.471,0.333,0.545,0.594,0.565
259998924,0.499,0.489,0.633,0.687,0.287
16027078,0.454,0.285,0.388,0.590,0.528
286679274,0.418,0.493,0.444,0.527,0.497
155449888,0.299,0.544,0.280,0.513,0.591
155478997,0.280,0.348,0.464,0.474,0.671
155483607,0.306,0.262,0.175,0.753,0.655
155488129,0.349,0.542,0.503,0.536,0.584
155498529,0.375,0.529,0.452,0.521,0.560
260077133,0.428,0.560,0.505,0.741,0.714
260083662,0.568,0.861,0.635,0.718,0.478
260125978,0.635,0.253,0.581,0.287,0.575
286903189,0.433,0.476,0.439,0.455,0.538
260131861,0.695,0.352,0.589,0.453,0.526
260137634,0.573,0.474,0.456,0.608,0.545
260137838,0.473,0.348,0.422,0.629,0.554
260141933,0.356,0.491,0.525,0.490,0.539
263964826,0.564,0.428,0.417,0.467,0.567
282209274,0.428,0.666,0.584,0.565,0.643
282268551,0.521,0.213,0.545,0.556,0.554
294884925,0.681,0.401,0.510,0.598,0.562
313680757,0.588,0.516,0.483,0.716,0.582
313681355,0.361,0.708,0.525,0.639,0.482
313683522,0.475,0.424,0.471,0.507,0.571
313704667,0.452,0.527,0.358,0.463,0.538
313825894,0.351,0.701,0.407,0.596,0.604
310058709,0.731,0.596,0.518,0.569,0.666
313846689,0.464,0.520,0.564,0.563,0.398
2363571,0.845,0.693,0.660,0.569,0.410
313899143,0.497,0.485,0.493,0.683,0.345
313916789,0.673,0.697,0.704,0.656,0.402
314038032,0.411,0.708,0.616,0.644,0.151
314049912,0.604,0.495,0.684,0.565,0.411
314062102,0.504,0.319,0.471,0.395,0.497
314096520,0.566,0.777,0.628,0.718,0.393
314098636,0.490,0.365,0.361,0.666,0.619
314107249,0.440,0.478,0.439,0.459,0.539
314114737,0.478,0.762,0.682,0.600,0.385
314120493,0.285,0.556,0.422,0.592,0.313
314131635,0.523,0.470,0.456,0.540,0.354
314136785,0.564,0.487,0.616,0.498,0.543
314153701,0.557,0.666,0.464,0.623,0.525
9290802,0.399,0.346,0.268,0.467,0.484
314199860,0.435,0.445,0.525,0.803,0.493
314227065,0.366,0.699,0.498,0.683,0.306
314239617,0.580,0.764,0.586,0.461,0.560
314273466,0.423,0.497,0.449,0.554,0.493
314291438,0.592,0.603,0.628,0.617,0.495
314316607,0.752,0.743,0.689,0.662,0.625
314340918,0.428,0.626,0.525,0.614,0.406
314387523,0.549,0.346,0.547,0.256,0.205
314459386,0.385,0.586,0.356,0.633,0.164
314525698,0.642,0.632,0.478,0.515,0.460
314553133,0.564,0.396,0.334,0.496,0.508
314585181,0.580,0.394,0.572,0.693,0.406
314628781,0.430,0.405,0.314,0.590,0.731
314659476,0.454,0.615,0.537,0.627,0.233
121234714,0.516,0.586,0.449,0.650,0.252
314661942,0.533,0.485,0.407,0.631,0.560
314662792,0.645,0.663,0.454,0.619,0.415
314670099,0.356,0.563,0.476,0.629,0.302
314701207,0.669,0.331,0.427,0.662,0.482
18206919,0.526,0.476,0.405,0.639,0.688
18157057,0.561,0.451,0.527,0.606,0.721
18158500,0.385,0.417,0.420,0.353,0.526
314732011,0.478,0.457,0.469,0.486,0.536
314734443,0.459,0.380,0.461,0.283,0.645
314738283,0.418,0.525,0.525,0.469,0.547
314738543,0.681,0.506,0.427,0.670,0.556
314751078,0.440,0.424,0.327,0.223,0.580
314761260,0.387,0.499,0.716,0.610,0.319
314794235,0.371,0.506,0.410,0.614,0.389
314798537,0.461,0.468,0.456,0.471,0.521
15349227,0.764,0.706,0.792,0.691,0.371
314801629,0.628,0.369,0.645,0.604,0.530
314864509,0.659,0.497,0.620,0.393,0.454
314882376,0.585,0.476,0.432,0.546,0.565
314903259,0.633,0.640,0.537,0.540,0.369
314904998,0.490,0.468,0.427,0.461,0.565
314922967,0.449,0.466,0.674,0.521,0.369
314961864,0.330,0.438,0.613,0.592,0.339
